id_client;nom;prenom;adresse;telephone;email
1;eek;on unfortunately;immediately extirpate;(657) 535-2510 x0795;Adelbert.Glover94@yahoo.com
2;opulent curly than;ephyra;plus reluctantly;729.534.4573 x88628;Ruthe.Franey19@yahoo.com
3;mule excepting;worriedly drawl urgently;loom;290.745.6335;Shanny93@hotmail.com
4;tap hmph above;yuck;drat alarming droopy;884-660-1345 x7290;Bonnie86@yahoo.com
5;since until;prejudge poise huzzah;gently;(698) 910-2757 x72749;Finn_Considine@hotmail.com
6;realistic;college;an anti;223-497-6168 x2125;Payton.Lind11@yahoo.com
7;wildly cathedral modulo;latch once overlook;correctly phooey;708-390-4347 x9599;Steve51@yahoo.com
8;under woot relieved;amidst aside rewrite;ha physics;(484) 947-7598 x800;Eulah.Shanahan@hotmail.com
9;near;trill sneaky;circa staid;(323) 302-2050;Emmie71@gmail.com
10;before;identical;soil;(906) 619-8110;Lavonne64@gmail.com
